"dateid01","allords","ftse","nasdaq","nikkei"
3/1/1996,-2.8122,-0.7485,0.1227,6.3702
4/1/1996,4.0978,3.1949,8.0915,2.9616
5/1/1996,-2.1884,-1.8361,4.4443,-0.3856
6/1/1996,-1.0591,-0.9819,-4.6975,2.6189
7/1/1996,-2.7563,-0.2102,-8.8125,-8.1576
8/1/1996,4.0545,4.4394,5.6367,-2.5419
9/1/1996,0.9565,2.2262,7.4831,6.8875
10/1/1996,2.6109,0.6424,-0.4409,-5.052
11/1/1996,1.6339,1.9829,5.8207,2.7019
12/1/1996,1.5072,1.4909,-0.1222,-7.8925
1/1/1997,-0.0371,3.8193,6.8798,-5.3251
2/1/1997,1.081,0.7601,-5.1346,1.2384
3/1/1997,-1.1266,0.1068,-6.6692,-2.9854
4/1/1997,2.7123,2.8542,3.1972,6.3767
5/1/1997,4.9236,4.1772,11.0695,4.7935
6/1/1997,4.4206,-0.3614,2.9815,2.6708
7/1/1997,0.3375,6.5782,10.5224,-1.3298
8/1/1997,-5.1954,-1.8339,-0.4072,-10.3389
9/1/1997,6.7065,8.8573,6.1972,-1.8706
10/1/1997,-10.9184,-7.6637,-5.4624,-7.9886
11/1/1997,0.0122,-0.2168,0.4355,1.0572
12/1/1997,6.1417,6.2854,-1.8869,-8.2607
1/1/1998,1.5364,6.2896,3.121,8.9718
2/1/1998,1.532,5.6572,9.3339,1.2268
3/1/1998,1.735,2.8592,3.6809,-1.812
4/1/1998,0.6523,-0.0641,1.783,-5.3594
5/1/1998,-1.6799,-0.9733,-4.7923,0.1887
6/1/1998,-1.7417,-0.649,6.5137,1.0177
7/1/1998,1.3566,0.0772,-1.1796,3.4661
8/1/1998,-8.2785,-10.0684,-19.9285,-13.8658
9/1/1998,4.2851,-3.5242,12.9792,-4.9724
10/1/1998,2.3309,7.3849,4.5784,1.1794
11/1/1998,4.7596,5.6175,10.0571,9.7253
12/1/1998,1.4459,2.4147,12.4722,-6.9978
1/1/1999,2.8578,0.2278,14.2838,4.7469
2/1/1999,-0.4803,4.7337,-8.6939,-0.9084
3/1/1999,3.0314,1.9465,7.5773,10.2248
4/1/1999,4.5127,4.0808,3.3095,5.4617
5/1/1999,-6.4784,-4.9754,-2.8448,-3.5319
6/1/1999,2.3688,1.4824,8.7269,8.8016
7/1/1999,1.7178,-1.3706,-1.7732,1.8946
8/1/1999,-2.2517,0.2327,3.8226,-2.381
9/1/1999,-2.3984,-3.4676,0.2486,0.9687
10/1/1999,0.1388,3.7464,8.021,1.912
11/1/1999,5.5076,5.459,12.4638,3.4341
12/1/1999,3.5644,5.0476,21.9759,2.0266
1/1/2000,-1.7922,-9.5481,-3.1691,3.1972
2/1/2000,1.2823,-0.5727,19.1947,2.1486
3/1/2000,-0.0765,4.9353,-2.6372,1.8928
4/1/2000,-1.5383,-3.2537,-15.5739,-11.6221
5/1/2000,-1.4424,0.5057,-11.9086,-9.1314
6/1/2000,7.1367,-0.7343,16.6191,6.604
7/1/2000,-1.3507,0.8332,-5.0205,-9.6695
8/1/2000,1.4968,4.8293,11.6634,7.2088
9/1/2000,-0.4783,-5.6724,-12.6839,-6.6069
10/1/2000,-1.3,2.291,-8.255,-7.669
11/1/2000,0.5649,-4.6005,-22.9016,0.7491
12/1/2000,-2.0888,1.3073,-4.9043,-5.8902
1/1/2001,4.3364,1.2053,12.2326,0.4197
2/1/2001,-0.5286,-6.0278,-22.3931,-6.9347
3/1/2001,-5.4122,-4.8024,-14.4793,0.9016
4/1/2001,5.5992,5.9162,14.9968,7.1896
5/1/2001,1.4341,-2.8624,-0.2717,-4.8239
6/1/2001,3.2558,-2.6517,2.3715,-2.21
7/1/2001,-4.5078,-2.0097,-6.1748,-8.5456
8/1/2001,-1.6204,-3.3297,-10.9366,-9.6727
9/1/2001,-7.1415,-8.2619,-16.9838,-8.763
10/1/2001,6.6031,2.7797,12.7702,6.053
11/1/2001,2.8757,3.2522,14.222,3.194
12/1/2001,2.5329,0.2652,1.0266,-1.4473
